"","LF_Name","LC_Name","Temp_Moist","RealmWE_ID","WE_ID","Realm_ID","RealmClass","LF_Class","MoistClass","TempClass","LC_Class","Realm_Name","Temp_Name","Moist_Name","WEcosystm","RWEcosystm","LandC_Type","Code","CR_HEX","LC_HEX","LF_HEX","TempMoistClass","WTE_code","WTE_HEX"
"1","Hills","Cropland","Sub Tropical Moist",5267,267,5000,5,2,3,4,1,"Nearctic","Sub Tropical","Moist","Sub Tropical Moist Cropland on Hills","Nearctic Sub Tropical Moist Cropland on Hills","Converted",4321,"#FCC24E66","#B5D99EFF","#7DC756B2",12,1212,"#bac860"
"2","Hills","Forest","Sub Tropical Dry",5290,290,5000,5,2,2,4,3,"Nearctic","Sub Tropical","Dry","Sub Tropical Dry Forest on Hills","Nearctic Sub Tropical Dry Forest on Hills","Natural",4223,"#FCE30066","#267300FF","#7DC756B2",11,3211,"#a0c324"
"3","Hills","Settlement","Tropical Moist",3407,407,3000,3,2,3,5,5,"Australasia","Tropical","Moist","Tropical Moist Settlement on Hills","Australasia Tropical Moist Settlement on Hills","Converted",5325,"#66240566","#8A4343FF","#7DC756B2",15,5215,"#766e32"
"4","Hills","Cropland","Sub Tropical Desert",5349,349,5000,5,2,1,4,1,"Nearctic","Sub Tropical","Desert","Sub Tropical Desert Cropland on Hills","Nearctic Sub Tropical Desert Cropland on Hills","Converted",4121,"#FFF7BA66","#B5D99EFF","#7DC756B2",10,1210,"#bbdd8b"
"5","Hills","Grassland","Sub Tropical Dry",5279,279,5000,5,2,2,4,4,"Nearctic","Sub Tropical","Dry","Sub Tropical Dry Grassland on Hills","Nearctic Sub Tropical Dry Grassland on Hills","Natural",4224,"#FCE30066","#789E60FF","#7DC756B2",11,4211,"#afcb35"
"6","Hills","Cropland","Boreal Moist",8060,60,8000,8,2,3,1,1,"Palearctic","Boreal","Moist","Boreal Moist Cropland on Hills","Palearctic Boreal Moist Cropland on Hills","Converted",1321,"#2C8EBF66","#B5D99EFF","#7DC756B2",3,1203,"#67b38d"
"7","Hills","Settlement","Cool Temperate Moist",5108,108,5000,5,2,3,2,5,"Nearctic","Cool Temperate","Moist","Cool Temperate Moist Settlement on Hills","Nearctic Cool Temperate Moist Settlement on Hills","Converted",2325,"#005C3266","#8A4343FF","#7DC756B2",6,5206,"#4d8444"
"8","Hills","Forest","Cool Temperate Desert",8260,260,8000,8,2,1,2,3,"Palearctic","Cool Temperate","Desert","Cool Temperate Desert Forest on Hills","Palearctic Cool Temperate Desert Forest on Hills","Natural",2123,"#41AB5D66","#267300FF","#7DC756B2",4,3204,"#55ad49"
"9","Hills","Settlement","Warm Temperate Dry",6191,191,6000,6,2,2,3,5,"Neotropic","Warm Temperate","Dry","Warm Temperate Dry Settlement on Hills","Neotropic Warm Temperate Dry Settlement on Hills","Converted",3225,"#A0D99A66","#8A4343FF","#7DC756B2",8,5208,"#8db66e"
"10","Hills","Forest","Cool Temperate Moist",5105,105,5000,5,2,3,2,3,"Nearctic","Cool Temperate","Moist","Cool Temperate Moist Forest on Hills","Nearctic Cool Temperate Moist Forest on Hills","Natural",2323,"#005C3266","#267300FF","#7DC756B2",6,3206,"#3b8d38"
